Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2025-02-10 11:00:01,192.168.50.12,172.16.10.5,443,8080,TCP,500,Data,Web,"<html>OK</html>",None,0.03,None,Normal,None,Allowed,Low,userX,desktop-10,Seg-A,IN,None,None,None,AppServer
2025-02-10 11:00:15,45.77.80.12,172.16.10.5,52421,443,TCP,1600,SYN,Web,"AAAAA",None,0.96,"Spike","DDoS","SYN_Storm",Blocked,Critical,guest,server-2,Seg-B,DE,None,"SYN Flood","DDoS Detected",Firewall
2025-02-10 11:01:20,192.168.23.77,172.16.10.60,5901,22,TCP,110,Auth,SSH,"Login attempt=user1",None,0.84,"Repeated login failures","Brute Force","SSH_CredStuff",Blocked,High,admin,laptop-4,Seg-C,IN,None,"Auth Fail","SSH Alert",SIEM
2025-02-10 11:02:09,10.50.0.33,8.8.8.8,40212,53,UDP,290,Tunnel,DNS,"Base64-encoded-large-block",Tunneling,0.91,"Unusual DNS pattern","DNS Tunneling","DNS_Tunnel",Blocked,High,userM,server-M1,Seg-D,US,None,"DNS anomaly","C2 Alert",DNS
2025-02-10 11:03:11,192.168.77.34,172.16.10.25,445,445,TCP,900,File,SMB,"Encrypted extension .dark",Ransomware,0.98,"File encryption detected","Ransomware","Locker_Variant",Blocked,Critical,userR,server-R2,Seg-E,IN,None,"File anomaly","Ransom Alert",FileServer
2025-02-10 11:04:32,172.16.90.10,10.0.0.5,6000,80,TCP,650,Scan,Web,"Cloud metadata access",None,0.79,"Suspicious request","Misconfig Abuse","AWS_MetaData",Blocked,Medium,userC,cloud-instance1,Seg-F,SG,None,None,"Meta Alert",CloudGateway
2025-02-10 11:05:14,45.34.22.100,172.16.10.44,50123,443,TCP,700,Data,Web,"Periodic beacon message",C2Possible,0.87,"Regular intervals","Botnet","Beacon_BotX",Blocked,High,userH,server-H7,Seg-G,RU,None,"Beacon anomaly","C2 Alert",Proxy
2025-02-10 11:06:55,192.168.88.120,172.16.10.77,3389,3389,TCP,1200,Auth,RDP,"Multiple failed RDP login attempts",None,0.82,"Credential Abuse","Brute Force","RDP_CredStuff",Blocked,High,userS,desktop-S1,Seg-H,IN,None,"RDP Fail","RDP Alert",RemoteAccess
2025-02-10 11:07:40,10.0.22.55,192.168.0.1,60211,80,ARP,220,Spoof,LAN,"ARP reply mismatch",None,0.89,"MAC anomaly","MITM","ARP_Spoof",Blocked,High,userN,laptop-N2,Seg-I,IN,None,"ARP Conflict","MITM Alert",Switch
2025-02-10 11:08:30,102.215.18.90,172.16.10.10,51422,443,TCP,720,Data,Web,"TOR-exfil pattern",None,0.93,"Suspicious outbound","Exfiltration","TOR_Exfil",Blocked,Critical,userZ,server-ZX,Seg-J,NL,None,"Outbound anomaly","Exfil Alert",Proxy
